model,arm,base,budget,task,score
llama3_8b,base,laprox,1024,2wikimqa,48.43
llama3_8b,base,laprox,1024,gov_report,27.36
llama3_8b,base,laprox,1024,hotpotqa,57.33
llama3_8b,base,laprox,1024,lcc,64.59
llama3_8b,base,laprox,1024,multi_news,25.60
llama3_8b,base,laprox,1024,multifieldqa_en,56.55
llama3_8b,base,laprox,1024,musique,32.40
llama3_8b,base,laprox,1024,narrativeqa,29.52
llama3_8b,base,laprox,1024,passage_count,11.79
llama3_8b,base,laprox,1024,passage_retrieval_en,99.50
llama3_8b,base,laprox,1024,qasper,43.42
llama3_8b,base,laprox,1024,qmsum,24.58
llama3_8b,base,laprox,1024,repobench,58.00
llama3_8b,base,laprox,1024,samsum,42.75
llama3_8b,base,laprox,1024,trec,68.00
llama3_8b,base,laprox,1024,triviaqa,91.31
llama3_8b,base,lava,128,2wikimqa,45.22
llama3_8b,base,lava,128,gov_report,20.41
llama3_8b,base,lava,128,hotpotqa,55.99
llama3_8b,base,lava,128,lcc,60.87
llama3_8b,base,lava,128,multi_news,19.82
llama3_8b,base,lava,128,multifieldqa_en,51.31
llama3_8b,base,lava,128,musique,28.18
llama3_8b,base,lava,128,narrativeqa,27.22
llama3_8b,base,lava,128,passage_count,11.83
llama3_8b,base,lava,128,passage_retrieval_en,99.25
llama3_8b,base,lava,128,qasper,26.06
llama3_8b,base,lava,128,qmsum,23.50
llama3_8b,base,lava,128,repobench,55.05
llama3_8b,base,lava,128,samsum,40.68
llama3_8b,base,lava,128,trec,46.50
llama3_8b,base,lava,128,triviaqa,90.17
llama3_8b,base,lava,256,2wikimqa,46.78
llama3_8b,base,lava,256,gov_report,23.11
llama3_8b,base,lava,256,hotpotqa,56.82
llama3_8b,base,lava,256,lcc,62.93
llama3_8b,base,lava,256,multi_news,21.99
llama3_8b,base,lava,256,multifieldqa_en,55.42
llama3_8b,base,lava,256,musique,30.30
llama3_8b,base,lava,256,narrativeqa,25.87
llama3_8b,base,lava,256,passage_count,11.75
llama3_8b,base,lava,256,passage_retrieval_en,100.00
llama3_8b,base,lava,256,qasper,34.63
llama3_8b,base,lava,256,qmsum,23.59
llama3_8b,base,lava,256,repobench,56.71
llama3_8b,base,lava,256,samsum,41.74
llama3_8b,base,lava,256,trec,62.50
llama3_8b,base,lava,256,triviaqa,91.61
llama3_8b,base,lava,1024,2wikimqa,48.31
llama3_8b,base,lava,1024,gov_report,27.55
llama3_8b,base,lava,1024,hotpotqa,57.87
llama3_8b,base,lava,1024,lcc,64.33
llama3_8b,base,lava,1024,multi_news,25.57
llama3_8b,base,lava,1024,multifieldqa_en,55.26
llama3_8b,base,lava,1024,musique,32.07
llama3_8b,base,lava,1024,narrativeqa,30.13
llama3_8b,base,lava,1024,passage_count,11.58
llama3_8b,base,lava,1024,passage_retrieval_en,100.00
llama3_8b,base,lava,1024,qasper,43.75
llama3_8b,base,lava,1024,qmsum,24.71
llama3_8b,base,lava,1024,repobench,58.77
llama3_8b,base,lava,1024,samsum,42.44
llama3_8b,base,lava,1024,trec,72.00
llama3_8b,base,lava,1024,triviaqa,91.89
llama3_8b,base,rkv,128,2wikimqa,47.57
llama3_8b,base,rkv,128,gov_report,21.38
llama3_8b,base,rkv,128,hotpotqa,54.87
llama3_8b,base,rkv,128,lcc,59.89
llama3_8b,base,rkv,128,multi_news,20.23
llama3_8b,base,rkv,128,multifieldqa_en,53.12
llama3_8b,base,rkv,128,musique,30.29
llama3_8b,base,rkv,128,narrativeqa,26.69
llama3_8b,base,rkv,128,passage_count,12.00
llama3_8b,base,rkv,128,passage_retrieval_en,99.00
llama3_8b,base,rkv,128,qasper,28.45
llama3_8b,base,rkv,128,qmsum,22.90
llama3_8b,base,rkv,128,repobench,51.80
llama3_8b,base,rkv,128,samsum,40.74
llama3_8b,base,rkv,128,trec,60.50
llama3_8b,base,rkv,128,triviaqa,91.10
llama3_8b,base,rkv,256,2wikimqa,47.39
llama3_8b,base,rkv,256,gov_report,23.66
llama3_8b,base,rkv,256,hotpotqa,56.15
llama3_8b,base,rkv,256,lcc,61.34
llama3_8b,base,rkv,256,multi_news,22.79
llama3_8b,base,rkv,256,multifieldqa_en,54.54
llama3_8b,base,rkv,256,musique,31.27
llama3_8b,base,rkv,256,narrativeqa,28.94
llama3_8b,base,rkv,256,passage_count,11.75
llama3_8b,base,rkv,256,passage_retrieval_en,100.00
llama3_8b,base,rkv,256,qasper,34.75
llama3_8b,base,rkv,256,qmsum,23.48
llama3_8b,base,rkv,256,repobench,54.43
llama3_8b,base,rkv,256,samsum,41.88
llama3_8b,base,rkv,256,trec,65.50
llama3_8b,base,rkv,256,triviaqa,91.53
llama3_8b,base,rkv,1024,2wikimqa,48.13
llama3_8b,base,rkv,1024,gov_report,28.50
llama3_8b,base,rkv,1024,hotpotqa,57.17
llama3_8b,base,rkv,1024,lcc,63.59
llama3_8b,base,rkv,1024,multi_news,25.70
llama3_8b,base,rkv,1024,multifieldqa_en,56.40
llama3_8b,base,rkv,1024,musique,32.62
llama3_8b,base,rkv,1024,narrativeqa,29.48
llama3_8b,base,rkv,1024,passage_count,11.62
llama3_8b,base,rkv,1024,passage_retrieval_en,99.50
llama3_8b,base,rkv,1024,qasper,42.74
llama3_8b,base,rkv,1024,qmsum,24.69
llama3_8b,base,rkv,1024,repobench,57.31
llama3_8b,base,rkv,1024,samsum,43.18
llama3_8b,base,rkv,1024,trec,71.50
llama3_8b,base,rkv,1024,triviaqa,91.72
llama3_8b,base,snapkv,128,2wikimqa,46.22
llama3_8b,base,snapkv,128,gov_report,18.68
llama3_8b,base,snapkv,128,hotpotqa,55.98
llama3_8b,base,snapkv,128,lcc,59.34
llama3_8b,base,snapkv,128,multi_news,18.86
llama3_8b,base,snapkv,128,multifieldqa_en,49.44
llama3_8b,base,snapkv,128,musique,28.08
llama3_8b,base,snapkv,128,narrativeqa,24.40
llama3_8b,base,snapkv,128,passage_count,12.00
llama3_8b,base,snapkv,128,passage_retrieval_en,98.00
llama3_8b,base,snapkv,128,qasper,25.15
llama3_8b,base,snapkv,128,qmsum,22.93
llama3_8b,base,snapkv,128,repobench,52.83
llama3_8b,base,snapkv,128,samsum,40.23
llama3_8b,base,snapkv,128,trec,47.00
llama3_8b,base,snapkv,128,triviaqa,89.33
llama3_8b,base,snapkv,256,2wikimqa,47.76
llama3_8b,base,snapkv,256,gov_report,21.58
llama3_8b,base,snapkv,256,hotpotqa,57.38
llama3_8b,base,snapkv,256,lcc,61.90
llama3_8b,base,snapkv,256,multi_news,21.71
llama3_8b,base,snapkv,256,multifieldqa_en,54.03
llama3_8b,base,snapkv,256,musique,29.53
llama3_8b,base,snapkv,256,narrativeqa,26.71
llama3_8b,base,snapkv,256,passage_count,11.83
llama3_8b,base,snapkv,256,passage_retrieval_en,99.50
llama3_8b,base,snapkv,256,qasper,31.76
llama3_8b,base,snapkv,256,qmsum,24.22
llama3_8b,base,snapkv,256,repobench,55.71
llama3_8b,base,snapkv,256,samsum,41.08
llama3_8b,base,snapkv,256,trec,55.00
llama3_8b,base,snapkv,256,triviaqa,91.58
llama3_8b,base,snapkv,1024,2wikimqa,48.76
llama3_8b,base,snapkv,1024,gov_report,27.15
llama3_8b,base,snapkv,1024,hotpotqa,57.61
llama3_8b,base,snapkv,1024,lcc,63.62
llama3_8b,base,snapkv,1024,multi_news,25.36
llama3_8b,base,snapkv,1024,multifieldqa_en,56.53
llama3_8b,base,snapkv,1024,musique,32.13
llama3_8b,base,snapkv,1024,narrativeqa,30.74
llama3_8b,base,snapkv,1024,passage_count,11.71
llama3_8b,base,snapkv,1024,passage_retrieval_en,100.00
llama3_8b,base,snapkv,1024,qasper,42.53
llama3_8b,base,snapkv,1024,qmsum,24.28
llama3_8b,base,snapkv,1024,repobench,58.16
llama3_8b,base,snapkv,1024,samsum,42.13
llama3_8b,base,snapkv,1024,trec,69.00
llama3_8b,base,snapkv,1024,triviaqa,91.77
llama3_8b,cache_select,snapkv,128,2wikimqa,46.74
llama3_8b,cache_select,snapkv,128,gov_report,21.52
llama3_8b,cache_select,snapkv,128,hotpotqa,55.71
llama3_8b,cache_select,snapkv,128,lcc,59.44
llama3_8b,cache_select,snapkv,128,multi_news,21.36
llama3_8b,cache_select,snapkv,128,multifieldqa_en,48.58
llama3_8b,cache_select,snapkv,128,musique,28.04
llama3_8b,cache_select,snapkv,128,narrativeqa,27.11
llama3_8b,cache_select,snapkv,128,passage_count,12.00
llama3_8b,cache_select,snapkv,128,passage_retrieval_en,98.50
llama3_8b,cache_select,snapkv,128,qasper,24.26
llama3_8b,cache_select,snapkv,128,qmsum,22.64
llama3_8b,cache_select,snapkv,128,repobench,52.24
llama3_8b,cache_select,snapkv,128,samsum,40.62
llama3_8b,cache_select,snapkv,128,trec,48.50
llama3_8b,cache_select,snapkv,128,triviaqa,89.23
llama3_8b,dense,,0,2wikimqa,48.69
llama3_8b,dense,,0,gov_report,34.70
llama3_8b,dense,,0,hotpotqa,57.61
llama3_8b,dense,,0,lcc,64.79
llama3_8b,dense,,0,multi_news,26.88
llama3_8b,dense,,0,multifieldqa_en,55.61
llama3_8b,dense,,0,musique,33.76
llama3_8b,dense,,0,narrativeqa,29.74
llama3_8b,dense,,0,passage_count,10.10
llama3_8b,dense,,0,passage_retrieval_en,100.00
llama3_8b,dense,,0,qasper,44.96
llama3_8b,dense,,0,qmsum,25.40
llama3_8b,dense,,0,repobench,58.89
llama3_8b,dense,,0,samsum,43.92
llama3_8b,dense,,0,trec,72.50
llama3_8b,dense,,0,triviaqa,91.66
llama3_8b,foresightkv,,128,2wikimqa,44.74
llama3_8b,foresightkv,,128,gov_report,22.32
llama3_8b,foresightkv,,128,hotpotqa,50.86
llama3_8b,foresightkv,,128,lcc,55.87
llama3_8b,foresightkv,,128,multi_news,21.78
llama3_8b,foresightkv,,128,multifieldqa_en,33.36
llama3_8b,foresightkv,,128,musique,25.53
llama3_8b,foresightkv,,128,narrativeqa,24.82
llama3_8b,foresightkv,,128,passage_count,12.00
llama3_8b,foresightkv,,128,passage_retrieval_en,95.50
llama3_8b,foresightkv,,128,qasper,21.88
llama3_8b,foresightkv,,128,qmsum,22.19
llama3_8b,foresightkv,,128,repobench,48.92
llama3_8b,foresightkv,,128,samsum,39.00
llama3_8b,foresightkv,,128,trec,41.00
llama3_8b,foresightkv,,128,triviaqa,87.10
llama3_8b,fullfuture,h2o,128,2wikimqa,46.99
llama3_8b,fullfuture,h2o,128,gov_report,20.54
llama3_8b,fullfuture,h2o,128,hotpotqa,56.15
llama3_8b,fullfuture,h2o,128,lcc,57.95
llama3_8b,fullfuture,h2o,128,multi_news,20.89
llama3_8b,fullfuture,h2o,128,multifieldqa_en,49.44
llama3_8b,fullfuture,h2o,128,musique,29.38
llama3_8b,fullfuture,h2o,128,narrativeqa,29.60
llama3_8b,fullfuture,h2o,128,passage_count,11.83
llama3_8b,fullfuture,h2o,128,passage_retrieval_en,99.00
llama3_8b,fullfuture,h2o,128,qasper,29.09
llama3_8b,fullfuture,h2o,128,qmsum,23.16
llama3_8b,fullfuture,h2o,128,repobench,50.91
llama3_8b,fullfuture,h2o,128,samsum,37.97
llama3_8b,fullfuture,h2o,128,trec,53.00
llama3_8b,fullfuture,h2o,128,triviaqa,92.28
llama3_8b,fullfuture,laprox,128,2wikimqa,47.24
llama3_8b,fullfuture,laprox,128,gov_report,19.55
llama3_8b,fullfuture,laprox,128,hotpotqa,56.19
llama3_8b,fullfuture,laprox,128,lcc,56.30
llama3_8b,fullfuture,laprox,128,multi_news,19.07
llama3_8b,fullfuture,laprox,128,multifieldqa_en,51.98
llama3_8b,fullfuture,laprox,128,musique,29.09
llama3_8b,fullfuture,laprox,128,narrativeqa,29.74
llama3_8b,fullfuture,laprox,128,passage_count,11.75
llama3_8b,fullfuture,laprox,128,passage_retrieval_en,99.00
llama3_8b,fullfuture,laprox,128,qasper,28.21
llama3_8b,fullfuture,laprox,128,qmsum,22.93
llama3_8b,fullfuture,laprox,128,repobench,51.73
llama3_8b,fullfuture,laprox,128,samsum,39.69
llama3_8b,fullfuture,laprox,128,trec,51.00
llama3_8b,fullfuture,laprox,128,triviaqa,91.37
llama3_8b,fullfuture,lava,128,2wikimqa,47.32
llama3_8b,fullfuture,lava,128,gov_report,20.51
llama3_8b,fullfuture,lava,128,hotpotqa,56.12
llama3_8b,fullfuture,lava,128,lcc,58.09
llama3_8b,fullfuture,lava,128,multi_news,19.38
llama3_8b,fullfuture,lava,128,multifieldqa_en,53.22
llama3_8b,fullfuture,lava,128,musique,29.51
llama3_8b,fullfuture,lava,128,narrativeqa,29.87
llama3_8b,fullfuture,lava,128,passage_count,11.90
llama3_8b,fullfuture,lava,128,passage_retrieval_en,99.00
llama3_8b,fullfuture,lava,128,qasper,29.72
llama3_8b,fullfuture,lava,128,qmsum,23.74
llama3_8b,fullfuture,lava,128,repobench,52.46
llama3_8b,fullfuture,lava,128,samsum,38.94
llama3_8b,fullfuture,lava,128,trec,50.00
llama3_8b,fullfuture,lava,128,triviaqa,91.53
llama3_8b,fullfuture,rkv,128,2wikimqa,48.10
llama3_8b,fullfuture,rkv,128,gov_report,20.81
llama3_8b,fullfuture,rkv,128,hotpotqa,55.94
llama3_8b,fullfuture,rkv,128,lcc,58.46
llama3_8b,fullfuture,rkv,128,multi_news,19.78
llama3_8b,fullfuture,rkv,128,multifieldqa_en,51.96
llama3_8b,fullfuture,rkv,128,musique,29.66
llama3_8b,fullfuture,rkv,128,narrativeqa,29.94
llama3_8b,fullfuture,rkv,128,passage_count,11.83
llama3_8b,fullfuture,rkv,128,passage_retrieval_en,99.00
llama3_8b,fullfuture,rkv,128,qasper,30.11
llama3_8b,fullfuture,rkv,128,qmsum,23.46
llama3_8b,fullfuture,rkv,128,repobench,50.89
llama3_8b,fullfuture,rkv,128,samsum,39.56
llama3_8b,fullfuture,rkv,128,trec,51.50
llama3_8b,fullfuture,rkv,128,triviaqa,91.50
llama3_8b,fullfuture,snapkv,128,2wikimqa,47.21
llama3_8b,fullfuture,snapkv,128,gov_report,20.20
llama3_8b,fullfuture,snapkv,128,hotpotqa,55.57
llama3_8b,fullfuture,snapkv,128,lcc,56.05
llama3_8b,fullfuture,snapkv,128,multi_news,18.82
llama3_8b,fullfuture,snapkv,128,multifieldqa_en,51.20
llama3_8b,fullfuture,snapkv,128,musique,29.54
llama3_8b,fullfuture,snapkv,128,narrativeqa,28.99
llama3_8b,fullfuture,snapkv,128,passage_count,11.83
llama3_8b,fullfuture,snapkv,128,passage_retrieval_en,99.00
llama3_8b,fullfuture,snapkv,128,qasper,28.70
llama3_8b,fullfuture,snapkv,128,qmsum,23.06
llama3_8b,fullfuture,snapkv,128,repobench,50.05
llama3_8b,fullfuture,snapkv,128,samsum,38.53
llama3_8b,fullfuture,snapkv,128,trec,51.50
llama3_8b,fullfuture,snapkv,128,triviaqa,92.03
llama3_8b,fullfuture_gated,h2o,128,2wikimqa,47.25
llama3_8b,fullfuture_gated,h2o,128,gov_report,22.50
llama3_8b,fullfuture_gated,h2o,128,hotpotqa,56.12
llama3_8b,fullfuture_gated,h2o,128,lcc,58.86
llama3_8b,fullfuture_gated,h2o,128,multi_news,22.90
llama3_8b,fullfuture_gated,h2o,128,multifieldqa_en,48.84
llama3_8b,fullfuture_gated,h2o,128,musique,30.18
llama3_8b,fullfuture_gated,h2o,128,passage_count,11.83
llama3_8b,fullfuture_gated,h2o,128,passage_retrieval_en,99.00
llama3_8b,fullfuture_gated,h2o,128,qasper,29.24
llama3_8b,fullfuture_gated,h2o,128,qmsum,23.09
llama3_8b,fullfuture_gated,h2o,128,repobench,50.38
llama3_8b,fullfuture_gated,h2o,128,samsum,39.19
llama3_8b,fullfuture_gated,h2o,128,trec,63.00
llama3_8b,fullfuture_gated,h2o,128,triviaqa,91.86
llama3_8b,fullfuture_gated,laprox,128,2wikimqa,47.96
llama3_8b,fullfuture_gated,laprox,128,gov_report,19.50
llama3_8b,fullfuture_gated,laprox,128,hotpotqa,56.46
llama3_8b,fullfuture_gated,laprox,128,lcc,58.35
llama3_8b,fullfuture_gated,laprox,128,multi_news,19.23
llama3_8b,fullfuture_gated,laprox,128,multifieldqa_en,52.44
llama3_8b,fullfuture_gated,laprox,128,musique,29.91
llama3_8b,fullfuture_gated,laprox,128,narrativeqa,29.85
llama3_8b,fullfuture_gated,laprox,128,passage_count,11.75
llama3_8b,fullfuture_gated,laprox,128,passage_retrieval_en,99.00
llama3_8b,fullfuture_gated,laprox,128,qasper,28.99
llama3_8b,fullfuture_gated,laprox,128,qmsum,22.90
llama3_8b,fullfuture_gated,laprox,128,repobench,52.47
llama3_8b,fullfuture_gated,laprox,128,samsum,39.47
llama3_8b,fullfuture_gated,laprox,128,trec,52.50
llama3_8b,fullfuture_gated,laprox,128,triviaqa,90.39
llama3_8b,fullfuture_gated,lava,128,2wikimqa,47.41
llama3_8b,fullfuture_gated,lava,128,gov_report,20.47
llama3_8b,fullfuture_gated,lava,128,hotpotqa,56.25
llama3_8b,fullfuture_gated,lava,128,lcc,59.44
llama3_8b,fullfuture_gated,lava,128,multi_news,19.77
llama3_8b,fullfuture_gated,lava,128,multifieldqa_en,52.76
llama3_8b,fullfuture_gated,lava,128,musique,29.47
llama3_8b,fullfuture_gated,lava,128,narrativeqa,29.23
llama3_8b,fullfuture_gated,lava,128,passage_count,11.90
llama3_8b,fullfuture_gated,lava,128,passage_retrieval_en,99.50
llama3_8b,fullfuture_gated,lava,128,qasper,29.60
llama3_8b,fullfuture_gated,lava,128,qmsum,23.50
llama3_8b,fullfuture_gated,lava,128,repobench,54.00
llama3_8b,fullfuture_gated,lava,128,samsum,40.33
llama3_8b,fullfuture_gated,lava,128,trec,51.50
llama3_8b,fullfuture_gated,lava,128,triviaqa,91.22
llama3_8b,fullfuture_gated,rkv,128,2wikimqa,47.89
llama3_8b,fullfuture_gated,rkv,128,gov_report,21.06
llama3_8b,fullfuture_gated,rkv,128,hotpotqa,55.75
llama3_8b,fullfuture_gated,rkv,128,lcc,59.74
llama3_8b,fullfuture_gated,rkv,128,multi_news,19.91
llama3_8b,fullfuture_gated,rkv,128,multifieldqa_en,52.16
llama3_8b,fullfuture_gated,rkv,128,musique,30.75
llama3_8b,fullfuture_gated,rkv,128,narrativeqa,28.77
llama3_8b,fullfuture_gated,rkv,128,passage_count,11.83
llama3_8b,fullfuture_gated,rkv,128,passage_retrieval_en,99.00
llama3_8b,fullfuture_gated,rkv,128,qasper,29.42
llama3_8b,fullfuture_gated,rkv,128,qmsum,23.62
llama3_8b,fullfuture_gated,rkv,128,repobench,51.76
llama3_8b,fullfuture_gated,rkv,128,samsum,40.95
llama3_8b,fullfuture_gated,rkv,128,trec,61.00
llama3_8b,fullfuture_gated,rkv,128,triviaqa,90.93
llama3_8b,fullfuture_gated,snapkv,128,2wikimqa,47.34
llama3_8b,fullfuture_gated,snapkv,128,gov_report,20.00
llama3_8b,fullfuture_gated,snapkv,128,hotpotqa,56.69
llama3_8b,fullfuture_gated,snapkv,128,lcc,58.82
llama3_8b,fullfuture_gated,snapkv,128,multi_news,19.02
llama3_8b,fullfuture_gated,snapkv,128,multifieldqa_en,50.83
llama3_8b,fullfuture_gated,snapkv,128,musique,29.74
llama3_8b,fullfuture_gated,snapkv,128,narrativeqa,28.09
llama3_8b,fullfuture_gated,snapkv,128,passage_count,11.83
llama3_8b,fullfuture_gated,snapkv,128,passage_retrieval_en,98.50
llama3_8b,fullfuture_gated,snapkv,128,qasper,28.46
llama3_8b,fullfuture_gated,snapkv,128,qmsum,23.04
llama3_8b,fullfuture_gated,snapkv,128,repobench,51.75
llama3_8b,fullfuture_gated,snapkv,128,samsum,40.83
llama3_8b,fullfuture_gated,snapkv,128,trec,54.50
llama3_8b,fullfuture_gated,snapkv,128,triviaqa,91.42
llama3_8b,kslot16,rkv,128,qasper,30.35
llama3_8b,kslot16,snapkv,128,qasper,27.39
llama3_8b,kslot32,rkv,128,qasper,31.71
llama3_8b,kslot32,rkv,128,trec,61.50
llama3_8b,kslot32,snapkv,128,qasper,29.03
llama3_8b,kslot32,snapkv,128,trec,50.50
llama3_8b,kslot64,rkv,128,qasper,32.74
llama3_8b,kslot64,rkv,128,trec,60.50
llama3_8b,kslot64,snapkv,128,qasper,31.69
llama3_8b,kslot64,snapkv,128,trec,51.50
llama3_8b,lambda4,rkv,128,multifieldqa_en,52.93
llama3_8b,lambda4,rkv,128,qasper,32.95
llama3_8b,lambda4,rkv,128,trec,61.50
llama3_8b,lambda4,snapkv,128,multifieldqa_en,52.35
llama3_8b,lambda4,snapkv,128,qasper,32.42
llama3_8b,lambda4,snapkv,128,trec,52.50
llama3_8b,lookaheadkv,,128,2wikimqa,45.22
llama3_8b,lookaheadkv,,128,gov_report,22.01
llama3_8b,lookaheadkv,,128,hotpotqa,55.19
llama3_8b,lookaheadkv,,128,lcc,56.61
llama3_8b,lookaheadkv,,128,multi_news,21.50
llama3_8b,lookaheadkv,,128,multifieldqa_en,50.59
llama3_8b,lookaheadkv,,128,musique,30.61
llama3_8b,lookaheadkv,,128,narrativeqa,26.76
llama3_8b,lookaheadkv,,128,passage_count,10.00
llama3_8b,lookaheadkv,,128,passage_retrieval_en,99.00
llama3_8b,lookaheadkv,,128,qasper,30.29
llama3_8b,lookaheadkv,,128,qmsum,23.62
llama3_8b,lookaheadkv,,128,repobench,50.54
llama3_8b,lookaheadkv,,128,samsum,40.95
llama3_8b,lookaheadkv,,128,trec,40.00
llama3_8b,lookaheadkv,,128,triviaqa,91.17
llama3_8b,oracle_future,snapkv,128,2wikimqa,49.82
llama3_8b,oracle_future,snapkv,128,gov_report,27.90
llama3_8b,oracle_future,snapkv,128,hotpotqa,57.18
llama3_8b,oracle_future,snapkv,128,lcc,64.37
llama3_8b,oracle_future,snapkv,128,multi_news,24.67
llama3_8b,oracle_future,snapkv,128,multifieldqa_en,55.81
llama3_8b,oracle_future,snapkv,128,musique,31.95
llama3_8b,oracle_future,snapkv,128,narrativeqa,29.43
llama3_8b,oracle_future,snapkv,128,passage_count,11.71
llama3_8b,oracle_future,snapkv,128,passage_retrieval_en,100.00
llama3_8b,oracle_future,snapkv,128,qasper,42.84
llama3_8b,oracle_future,snapkv,128,qmsum,24.73
llama3_8b,oracle_future,snapkv,128,repobench,57.76
llama3_8b,oracle_future,snapkv,128,samsum,42.98
llama3_8b,oracle_future,snapkv,128,trec,72.00
llama3_8b,oracle_future,snapkv,128,triviaqa,91.96
llama3_8b,probe2,laprox,128,2wikimqa,47.98
llama3_8b,probe2,laprox,128,gov_report,20.42
llama3_8b,probe2,laprox,128,hotpotqa,56.10
llama3_8b,probe2,laprox,128,lcc,58.69
llama3_8b,probe2,laprox,128,multi_news,19.33
llama3_8b,probe2,laprox,128,multifieldqa_en,52.56
llama3_8b,probe2,laprox,128,musique,30.04
llama3_8b,probe2,laprox,128,narrativeqa,28.82
llama3_8b,probe2,laprox,128,passage_count,12.00
llama3_8b,probe2,laprox,128,passage_retrieval_en,99.50
llama3_8b,probe2,laprox,128,qasper,33.55
llama3_8b,probe2,laprox,128,qmsum,22.93
llama3_8b,probe2,laprox,128,repobench,53.06
llama3_8b,probe2,laprox,128,samsum,40.32
llama3_8b,probe2,laprox,128,trec,54.50
llama3_8b,probe2,laprox,128,triviaqa,89.37
llama3_8b,probe2,snapkv,128,2wikimqa,46.97
llama3_8b,probe2,snapkv,128,gov_report,20.49
llama3_8b,probe2,snapkv,128,hotpotqa,56.86
llama3_8b,probe2,snapkv,128,lcc,59.49
llama3_8b,probe2,snapkv,128,multi_news,19.53
llama3_8b,probe2,snapkv,128,multifieldqa_en,51.98
llama3_8b,probe2,snapkv,128,musique,30.36
llama3_8b,probe2,snapkv,128,narrativeqa,28.94
llama3_8b,probe2,snapkv,128,passage_count,11.80
